ID,Sex,Height,Weight,feet,inches,height,weight,bmi
A25100,Male,6 ft. 01 in.,230 lbs.,6,1,73,230,30.34
A25160,Male,5 ft. 07 in.,173 lbs.,5,7,67,173,27.09
A25186,Male,6 ft. 03 in.,164 lbs.,6,3,75,164,20.50
A25193,Male,6 ft. 00 in.,235 lbs.,6,0,72,235,31.87
A26050,Female,5 ft. 05 in.,132 lbs.,5,5,65,132,21.96
A50013,Male,6 ft. 03 in.,210 lbs.,6,3,75,210,26.25
A50043,Male,5 ft. 07 in.,141 lbs.,5,7,67,141,22.08
A50089,Male,5 ft. 08 in.,134 lbs.,5,8,68,134,20.37
A50119,Male,5 ft. 09 in.,230 lbs.,5,9,69,230,33.96
A50173,Male,5 ft. 09 in.,155 lbs.,5,9,69,155,22.89
A50191,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A50207,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
A50225,Male,6 ft. 01 in.,161 lbs.,6,1,73,161,21.24
A50229,Male,5 ft. 11 in.,221 lbs.,5,11,71,221,30.82
A50273,Male,5 ft. 09 in.,195 lbs.,5,9,69,195,28.79
A50321,Male,5 ft. 07 in.,138 lbs.,5,7,67,138,21.61
A50324,Male,6 ft. 00 in.,225 lbs.,6,0,72,225,30.51
A50330,Male,5 ft. 10 in.,196 lbs.,5,10,70,196,28.12
A50367,Male,5 ft. 07 in.,165 lbs.,5,7,67,165,25.84
A50446,Male,5 ft. 11 in.,190 lbs.,5,11,71,190,26.50
A50517,Male,5 ft. 11 in.,370 lbs.,5,11,71,370,51.60
A50585,Male,5 ft. 10 in.,185 lbs.,5,10,70,185,26.54
A50669,Male,5 ft. 10 in.,144 lbs.,5,10,70,144,20.66
A50676,Male,5 ft. 11 in.,220 lbs.,5,11,71,220,30.68
A50692,Male,5 ft. 11 in.,206 lbs.,5,11,71,206,28.73
A50773,Male,5 ft. 10 in.,198 lbs.,5,10,70,198,28.41
A50774,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
A50779,Male,6 ft. 00 in.,160 lbs.,6,0,72,160,21.70
A50844,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A50947,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
A50955,Male,5 ft. 09 in.,235 lbs.,5,9,69,235,34.70
A50993,Male,5 ft. 08 in.,185 lbs.,5,8,68,185,28.13
A51031,Male,5 ft. 10 in.,199 lbs.,5,10,70,199,28.55
A51054,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
A51082,Male,5 ft. 06 in.,215 lbs.,5,6,66,215,34.70
A51149,Male,5 ft. 10 in.,175 lbs.,5,10,70,175,25.11
A51174,Male,5 ft. 08 in.,163 lbs.,5,8,68,163,24.78
A51196,Male,5 ft. 11 in.,192 lbs.,5,11,71,192,26.78
A51233,Male,5 ft. 05 in.,207 lbs.,5,5,65,207,34.44
A51236,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A51240,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
A51322,Male,5 ft. 11 in.,183 lbs.,5,11,71,183,25.52
A51344,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
A51368,Male,6 ft. 03 in.,275 lbs.,6,3,75,275,34.37
A51372,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
A51378,Male,5 ft. 09 in.,210 lbs.,5,9,69,210,31.01
A56009,Male,5 ft. 08 in.,185 lbs.,5,8,68,185,28.13
A56059,Male,6 ft. 01 in.,200 lbs.,6,1,73,200,26.38
A56081,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
A56131,Male,5 ft. 10 in.,200 lbs.,5,10,70,200,28.69
A56136,Male,5 ft. 09 in.,190 lbs.,5,9,69,190,28.06
A57708,Male,6 ft. 01 in.,230 lbs.,6,1,73,230,30.34
A57711,Male,6 ft. 02 in.,210 lbs.,6,2,74,210,26.96
A57980,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
A60034,Male,5 ft. 10 in.,215 lbs.,5,10,70,215,30.85
A60077,Male,5 ft. 05 in.,150 lbs.,5,5,65,150,24.96
A60096,Male,5 ft. 10 in.,237 lbs.,5,10,70,237,34.00
A60121,Male,6 ft. 04 in.,205 lbs.,6,4,76,205,24.95
A60138,Male,5 ft. 09 in.,227 lbs.,5,9,69,227,33.52
A60145,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A60152,Male,5 ft. 07 in.,226 lbs.,5,7,67,226,35.39
A60158,Male,5 ft. 08 in.,161 lbs.,5,8,68,161,24.48
A60166,Male,5 ft. 09 in.,209 lbs.,5,9,69,209,30.86
A60185,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
A60203,Male,5 ft. 11 in.,172 lbs.,5,11,71,172,23.99
A60218,Male,5 ft. 10 in.,190 lbs.,5,10,70,190,27.26
A60224,Male,6 ft. 00 in.,195 lbs.,6,0,72,195,26.44
A60247,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
A60269,Male,6 ft. 03 in.,225 lbs.,6,3,75,225,28.12
A60334,Male,6 ft. 02 in.,210 lbs.,6,2,74,210,26.96
A60338,Male,5 ft. 11 in.,225 lbs.,5,11,71,225,31.38
A60349,Male,5 ft. 09 in.,176 lbs.,5,9,69,176,25.99
A60369,Male,5 ft. 09 in.,130 lbs.,5,9,69,130,19.20
A60441,Male,6 ft. 00 in.,168 lbs.,6,0,72,168,22.78
A60451,Male,6 ft. 00 in.,190 lbs.,6,0,72,190,25.77
A60478,Male,5 ft. 06 in.,250 lbs.,5,6,66,250,40.35
A60491,Male,5 ft. 08 in.,239 lbs.,5,8,68,239,36.34
A60514,Male,6 ft. 01 in.,252 lbs.,6,1,73,252,33.24
A60656,Male,5 ft. 09 in.,190 lbs.,5,9,69,190,28.06
A60700,Male,6 ft. 01 in.,195 lbs.,6,1,73,195,25.72
A60767,Male,5 ft. 11 in.,200 lbs.,5,11,71,200,27.89
A60810,Male,5 ft. 09 in.,191 lbs.,5,9,69,191,28.20
A60835,Male,6 ft. 00 in.,171 lbs.,6,0,72,171,23.19
A60862,Male,5 ft. 11 in.,176 lbs.,5,11,71,176,24.54
A60879,Male,5 ft. 11 in.,205 lbs.,5,11,71,205,28.59
A60881,Male,6 ft. 01 in.,190 lbs.,6,1,73,190,25.06
A60925,Male,6 ft. 00 in.,210 lbs.,6,0,72,210,28.48
A60952,Male,5 ft. 09 in.,249 lbs.,5,9,69,249,36.77
A60972,Male,5 ft. 08 in.,192 lbs.,5,8,68,192,29.19
A61010,Male,5 ft. 10 in.,156 lbs.,5,10,70,156,22.38
A61038,Male,5 ft. 07 in.,159 lbs.,5,7,67,159,24.90
A61070,Male,6 ft. 02 in.,185 lbs.,6,2,74,185,23.75
A61104,Male,5 ft. 08 in.,172 lbs.,5,8,68,172,26.15
A61136,Male,5 ft. 05 in.,138 lbs.,5,5,65,138,22.96
A61175,Male,5 ft. 05 in.,161 lbs.,5,5,65,161,26.79
A61187,Male,5 ft. 07 in.,165 lbs.,5,7,67,165,25.84
A61191,Male,5 ft. 06 in.,222 lbs.,5,6,66,222,35.83
A61248,Male,5 ft. 11 in.,249 lbs.,5,11,71,249,34.72
A61254,Male,5 ft. 07 in.,160 lbs.,5,7,67,160,25.06
A61270,Male,5 ft. 11 in.,228 lbs.,5,11,71,228,31.80
A61441,Male,5 ft. 11 in.,145 lbs.,5,11,71,145,20.22
A61492,Male,5 ft. 11 in.,185 lbs.,5,11,71,185,25.80
A61541,Male,5 ft. 11 in.,171 lbs.,5,11,71,171,23.85
A61543,Male,5 ft. 11 in.,195 lbs.,5,11,71,195,27.19
A61589,Male,5 ft. 07 in.,163 lbs.,5,7,67,163,25.53
A61629,Male,5 ft. 07 in.,195 lbs.,5,7,67,195,30.54
A61667,Male,6 ft. 01 in.,230 lbs.,6,1,73,230,30.34
A61683,Male,5 ft. 06 in.,180 lbs.,5,6,66,180,29.05
A61697,Male,5 ft. 07 in.,174 lbs.,5,7,67,174,27.25
A61719,Male,6 ft. 01 in.,170 lbs.,6,1,73,170,22.43
A61721,Male,6 ft. 00 in.,225 lbs.,6,0,72,225,30.51
A62093,Male,5 ft. 08 in.,148 lbs.,5,8,68,148,22.50
A62143,Male,5 ft. 11 in.,130 lbs.,5,11,71,130,18.13
A62145,Male,5 ft. 10 in.,170 lbs.,5,10,70,170,24.39
A62152,Male,5 ft. 06 in.,145 lbs.,5,6,66,145,23.40
A62177,Male,5 ft. 08 in.,162 lbs.,5,8,68,162,24.63
A62183,Male,5 ft. 07 in.,181 lbs.,5,7,67,181,28.35
A62222,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
A62260,Male,5 ft. 07 in.,175 lbs.,5,7,67,175,27.41
A62278,Male,5 ft. 05 in.,160 lbs.,5,5,65,160,26.62
A62372,Male,6 ft. 00 in.,181 lbs.,6,0,72,181,24.55
A62475,Male,5 ft. 11 in.,150 lbs.,5,11,71,150,20.92
A62508,Male,5 ft. 08 in.,173 lbs.,5,8,68,173,26.30
A62511,Male,5 ft. 10 in.,183 lbs.,5,10,70,183,26.25
A62585,Male,5 ft. 07 in.,159 lbs.,5,7,67,159,24.90
A62613,Male,6 ft. 03 in.,204 lbs.,6,3,75,204,25.50
A62670,Male,5 ft. 06 in.,234 lbs.,5,6,66,234,37.76
A62674,Male,5 ft. 06 in.,175 lbs.,5,6,66,175,28.24
A62676,Male,5 ft. 08 in.,155 lbs.,5,8,68,155,23.57
A62696,Male,5 ft. 10 in.,186 lbs.,5,10,70,186,26.69
A62709,Male,5 ft. 06 in.,152 lbs.,5,6,66,152,24.53
A62788,Male,5 ft. 10 in.,193 lbs.,5,10,70,193,27.69
A62835,Male,5 ft. 10 in.,175 lbs.,5,10,70,175,25.11
A62838,Male,5 ft. 09 in.,198 lbs.,5,9,69,198,29.24
A62907,Male,6 ft. 01 in.,195 lbs.,6,1,73,195,25.72
A62937,Male,5 ft. 06 in.,160 lbs.,5,6,66,160,25.82
A63018,Male,5 ft. 08 in.,167 lbs.,5,8,68,167,25.39
A63055,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
A63057,Male,5 ft. 05 in.,200 lbs.,5,5,65,200,33.28
A63073,Male,6 ft. 03 in.,200 lbs.,6,3,75,200,25.00
A63074,Male,6 ft. 03 in.,335 lbs.,6,3,75,335,41.87
A63079,Male,5 ft. 09 in.,272 lbs.,5,9,69,272,40.16
A63110,Male,6 ft. 02 in.,240 lbs.,6,2,74,240,30.81
A63227,Male,5 ft. 10 in.,241 lbs.,5,10,70,241,34.58
A63302,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
A63323,Male,5 ft. 11 in.,156 lbs.,5,11,71,156,21.76
A63335,Male,6 ft. 05 in.,265 lbs.,6,5,77,265,31.42
A63412,Male,6 ft. 00 in.,167 lbs.,6,0,72,167,22.65
A63416,Male,5 ft. 06 in.,208 lbs.,5,6,66,208,33.57
A63435,Male,5 ft. 11 in.,155 lbs.,5,11,71,155,21.62
A63465,Male,5 ft. 09 in.,235 lbs.,5,9,69,235,34.70
A63522,Male,5 ft. 11 in.,185 lbs.,5,11,71,185,25.80
A63557,Male,6 ft. 01 in.,200 lbs.,6,1,73,200,26.38
A63589,Male,5 ft. 11 in.,263 lbs.,5,11,71,263,36.68
A63633,Male,5 ft. 09 in.,163 lbs.,5,9,69,163,24.07
A63684,Male,5 ft. 07 in.,185 lbs.,5,7,67,185,28.97
A63742,Male,6 ft. 00 in.,210 lbs.,6,0,72,210,28.48
A63871,Male,5 ft. 05 in.,172 lbs.,5,5,65,172,28.62
A63882,Male,6 ft. 00 in.,166 lbs.,6,0,72,166,22.51
A63900,Male,6 ft. 02 in.,185 lbs.,6,2,74,185,23.75
A63927,Male,6 ft. 02 in.,203 lbs.,6,2,74,203,26.06
A64002,Male,5 ft. 07 in.,229 lbs.,5,7,67,229,35.86
A64004,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
A64023,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A64030,Male,5 ft. 05 in.,196 lbs.,5,5,65,196,32.61
A64086,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
A64188,Male,5 ft. 10 in.,170 lbs.,5,10,70,170,24.39
A64189,Male,6 ft. 00 in.,202 lbs.,6,0,72,202,27.39
A64206,Male,6 ft. 00 in.,218 lbs.,6,0,72,218,29.56
A64229,Male,5 ft. 08 in.,220 lbs.,5,8,68,220,33.45
A64235,Male,5 ft. 07 in.,216 lbs.,5,7,67,216,33.83
A64246,Male,5 ft. 06 in.,129 lbs.,5,6,66,129,20.82
A64284,Male,5 ft. 07 in.,155 lbs.,5,7,67,155,24.27
A64313,Male,6 ft. 00 in.,185 lbs.,6,0,72,185,25.09
A64333,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
A64343,Male,5 ft. 10 in.,201 lbs.,5,10,70,201,28.84
A64349,Male,5 ft. 05 in.,187 lbs.,5,5,65,187,31.12
A64363,Male,6 ft. 00 in.,175 lbs.,6,0,72,175,23.73
A66045,Male,6 ft. 01 in.,192 lbs.,6,1,73,192,25.33
A66171,Male,5 ft. 07 in.,153 lbs.,5,7,67,153,23.96
A66229,Male,5 ft. 07 in.,161 lbs.,5,7,67,161,25.21
A66271,Male,5 ft. 11 in.,205 lbs.,5,11,71,205,28.59
A66320,Male,5 ft. 08 in.,160 lbs.,5,8,68,160,24.33
A66400,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A66460,Male,5 ft. 09 in.,155 lbs.,5,9,69,155,22.89
A66464,Male,5 ft. 00 in.,155 lbs.,5,0,60,155,30.27
A66488,Male,5 ft. 10 in.,198 lbs.,5,10,70,198,28.41
A66507,Male,5 ft. 08 in.,164 lbs.,5,8,68,164,24.93
A67556,Female,5 ft. 06 in.,164 lbs.,5,6,66,164,26.47
A67810,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A67856,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
A67942,Male,5 ft. 11 in.,162 lbs.,5,11,71,162,22.59
A68069,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
A68106,Male,6 ft. 00 in.,199 lbs.,6,0,72,199,26.99
A68230,Male,5 ft. 11 in.,235 lbs.,5,11,71,235,32.77
A68344,Male,6 ft. 01 in.,257 lbs.,6,1,73,257,33.90
A68363,Male,5 ft. 07 in.,204 lbs.,5,7,67,204,31.95
A68398,Male,6 ft. 03 in.,213 lbs.,6,3,75,213,26.62
A68418,Male,5 ft. 10 in.,210 lbs.,5,10,70,210,30.13
A68566,Male,5 ft. 05 in.,156 lbs.,5,5,65,156,25.96
A68643,Male,5 ft. 07 in.,175 lbs.,5,7,67,175,27.41
A68718,Male,5 ft. 10 in.,165 lbs.,5,10,70,165,23.67
A68728,Male,6 ft. 00 in.,300 lbs.,6,0,72,300,40.68
A68809,Male,5 ft. 10 in.,206 lbs.,5,10,70,206,29.55
A68864,Male,5 ft. 04 in.,155 lbs.,5,4,64,155,26.60
A68998,Male,6 ft. 04 in.,195 lbs.,6,4,76,195,23.73
A69036,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
A69051,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
A69085,Male,5 ft. 11 in.,216 lbs.,5,11,71,216,30.12
A70164,Male,5 ft. 03 in.,150 lbs.,5,3,63,150,26.57
A70170,Male,5 ft. 09 in.,180 lbs.,5,9,69,180,26.58
A70187,Male,5 ft. 06 in.,149 lbs.,5,6,66,149,24.05
A70206,Male,5 ft. 11 in.,152 lbs.,5,11,71,152,21.20
A70208,Male,5 ft. 10 in.,152 lbs.,5,10,70,152,21.81
A70223,Male,6 ft. 01 in.,205 lbs.,6,1,73,205,27.04
